collector_id,collector_name,hire_date,team_name,collector_level,manager_name,is_active_flag,source_updated_at,change_reason
COL-1000,Stacy Erickson,2021-04-28,Early Stage 1-29,Junior,Raymond Garcia,True,2025-05-01,REORG
COL-1004,Melissa Maxwell,2022-05-28,Late Stage 60-89,Junior,Christine Rojas,True,2025-05-01,REORG
COL-1005,Judy Thomas,2024-07-12,Late Stage 90+,Team Lead,Samantha Patton,True,2025-05-01,REORG
COL-1009,Mrs. Barbara Gonzalez DDS,2024-08-27,Mid Stage 30-59,Senior,Eugene Kelley,True,2025-05-01,REORG
COL-1010,Teresa Allen,2021-08-01,Late Stage 60-89,Junior,Sean Anderson,True,2025-05-01,REORG
COL-1011,Joseph Goodman,2025-06-22,Late Stage 90+,Junior,Jose Richards,True,2025-05-01,REORG
COL-1012,Caitlyn Bentley,2024-04-06,Late Stage 90+,Senior,Cory Blake,True,2025-05-01,REORG
COL-1015,Joseph Rodriguez,2021-02-01,Mid Stage 30-59,Junior,Whitney Guzman,True,2025-05-01,REORG
COL-1018,Timothy Ortiz,2025-02-22,Mid Stage 30-59,Junior,Misty Petty,True,2025-05-01,REORG
COL-1022,Reginald Wolf,2023-01-31,Recovery,Junior,Michael Wright,True,2025-05-01,REORG
COL-1024,Mrs. Erica Stone,2021-06-25,Recovery,Junior,Matthew Johnson,True,2025-05-01,REORG
COL-1025,Robert Ferguson,2020-08-21,Recovery,Junior,Crystal Mata,True,2025-05-01,REORG
COL-1026,Joseph Taylor,2023-03-04,Late Stage 90+,Junior,Edward Barnett,True,2025-05-01,REORG
COL-1028,Matthew Coleman,2021-01-12,Early Stage 1-29,Junior,Michelle Morse,True,2025-05-01,REORG
COL-1030,Kathryn Allison,2023-09-28,Mid Stage 30-59,Junior,Kevin Shaw,True,2025-05-01,REORG
COL-1031,Jessica Stein,2023-12-01,Recovery,Senior,Jennifer Valdez,True,2025-05-01,REORG
COL-1033,Diana Elliott,2022-08-16,Early Stage 1-29,Junior,Andrew Knapp,True,2025-05-01,REORG
COL-1036,Joe Brown,2026-02-21,Late Stage 90+,Junior,Deborah Thomas,True,2025-05-01,REORG
COL-1040,Jack Dillon,2025-02-17,Recovery,Junior,Elizabeth Myers,True,2025-05-01,REORG
COL-1042,Ruth Church,2026-05-11,Late Stage 60-89,Senior,Robert Mendoza,True,2025-05-01,REORG
COL-1044,Kimberly Bradley,2022-04-04,Recovery,Junior,Eric Martinez,True,2025-05-01,REORG
COL-1045,Bradley Sanchez,2024-07-26,Late Stage 90+,Junior,Samantha Graham,True,2025-05-01,REORG
COL-1047,Nicholas Clark,2022-02-16,Late Stage 60-89,Team Lead,Andrew Johnson,True,2025-05-01,REORG
COL-1053,Danielle Alvarado,2021-07-06,Late Stage 60-89,Junior,Elizabeth Nguyen,True,2025-05-01,REORG
COL-1055,Edwin Weaver,2025-12-06,Late Stage 90+,Senior,Rachel Gutierrez,True,2025-05-01,REORG
COL-1056,Daniel Hill,2022-07-29,Early Stage 1-29,Junior,Curtis Woodard,True,2025-05-01,REORG
COL-1062,Amanda Higgins,2025-05-03,Early Stage 1-29,Senior,Sherry Hopkins,True,2025-05-01,REORG
COL-1064,Amanda Huber,2024-08-18,Mid Stage 30-59,Senior,Janet Anderson,True,2025-05-01,REORG
COL-1065,Brenda Maxwell,2023-01-21,Late Stage 90+,Junior,Brian Sullivan Jr.,True,2025-05-01,REORG
COL-1069,Jonathan Golden,2021-04-28,Early Stage 1-29,Junior,Christopher Dougherty,True,2025-05-01,REORG
COL-1070,Shane White,2022-02-11,Mid Stage 30-59,Senior,Denise Schroeder MD,True,2025-05-01,REORG
COL-1073,Daniel Schmidt,2024-11-23,Early Stage 1-29,Senior,Sean Hughes,True,2025-05-01,REORG
COL-1076,Barbara Hughes,2021-05-08,Recovery,Junior,Susan Lynch,True,2025-05-01,REORG
COL-1078,Kristine Cook,2025-02-23,Late Stage 60-89,Junior,Jacqueline Wheeler,True,2025-05-01,REORG
COL-1085,David Martinez,2020-08-28,Early Stage 1-29,Senior,Nicole Taylor MD,True,2025-05-01,REORG
COL-1088,Richard Moran,2025-10-30,Late Stage 90+,Senior,Rachael Wilson,True,2025-05-01,REORG
COL-1089,Amy Young,2025-08-10,Early Stage 1-29,Junior,Jocelyn Burgess,True,2025-05-01,REORG
COL-1090,Anthony Smith,2024-04-04,Early Stage 1-29,Junior,Katherine Jones,True,2025-05-01,REORG
COL-1091,Dennis Jones,2024-02-03,Late Stage 60-89,Junior,Stephen Fernandez,True,2025-05-01,REORG
COL-1096,Ryan Stephens,2024-02-22,Early Stage 1-29,Senior,Angie Wilson,True,2025-05-01,REORG
COL-1097,Dennis Burnett,2022-12-31,Late Stage 90+,Senior,Christina Martinez,True,2025-05-01,REORG
COL-1098,Jacob Johnson,2026-02-13,Recovery,Team Lead,Randy Wyatt,True,2025-05-01,REORG
COL-1104,Anita Hall,2022-05-23,Early Stage 1-29,Junior,Kimberly Martinez,True,2025-05-01,REORG
COL-1107,Adrian Moore,2025-07-22,Late Stage 60-89,Senior,Joshua Brown,True,2025-05-01,REORG
COL-1109,Anthony Cantrell,2022-06-20,Late Stage 60-89,Senior,Justin Bowen,True,2025-05-01,REORG
COL-1110,Jordan Garrett,2023-05-27,Late Stage 90+,Junior,Jeffrey Brown,True,2025-05-01,REORG
COL-1114,Sierra Macias,2023-11-12,Early Stage 1-29,Junior,James Salazar,True,2025-05-01,REORG
COL-1118,Laura Moore,2024-06-25,Mid Stage 30-59,Senior,Gina Navarro,True,2025-05-01,REORG
